iter	Passed	Remaining
0	5	2198
1	10	2139
2	16	2175
3	20	2059
4	25	2008
5	29	1956
6	34	1946
7	40	1996
8	47	2060
9	51	2024
10	56	2002
11	60	1952
12	65	1961
13	70	1941
14	75	1927
15	79	1905
16	84	1913
17	89	1895
18	93	1874
19	98	1868
20	105	1895
21	109	1884
22	115	1893
23	120	1885
24	124	1871
25	130	1880
26	135	1873
27	140	1861
28	144	1847
29	149	1847
30	154	1837
31	158	1825
32	166	1848
33	171	1847
34	176	1836
35	183	1850
36	187	1840
37	191	1826
38	198	1835
39	211	1902
40	215	1889
41	222	1893
42	227	1885
43	231	1872
44	237	1869
45	241	1858
46	247	1861
47	252	1848
48	258	1849
49	263	1845
50	268	1834
51	274	1833
52	279	1829
53	283	1818
54	293	1840
55	300	1848
56	307	1847
57	313	1846
58	317	1834
59	321	1822
60	326	1815
61	330	1803
62	335	1793
63	339	1782
64	344	1777
65	349	1767
66	353	1759
67	358	1749
68	362	1739
69	368	1736
70	372	1726
71	378	1726
72	383	1718
73	388	1710
74	394	1707
75	398	1699
76	402	1690
77	407	1681
78	412	1678
79	417	1669
80	421	1660
81	426	1652
82	432	1652
83	437	1645
84	443	1641
85	447	1632
86	451	1624
87	455	1615
88	461	1611
89	465	1602
90	469	1595
91	476	1594
92	481	1589
93	486	1582
94	492	1581
95	500	1584
96	509	1590
97	515	1588
98	519	1579
99	525	1575
100	529	1567
101	533	1558
102	537	1550
103	543	1546
104	547	1538
105	551	1530
106	557	1527
107	564	1526
108	569	1519
109	574	1514
110	578	1506
111	582	1498
112	588	1494
113	592	1487
114	596	1479
115	601	1471
116	606	1467
117	611	1460
118	615	1453
119	619	1446
120	628	1449
121	633	1444
122	640	1442
123	645	1437
124	650	1431
125	656	1427
126	661	1422
127	665	1415
128	671	1410
129	675	1403
130	680	1396
131	684	1389
132	689	1383
133	693	1377
134	698	1371
135	704	1368
136	709	1362
137	714	1355
138	719	1351
139	723	1343
140	729	1339
141	733	1333
142	739	1328
143	743	1321
144	747	1315
145	752	1309
146	759	1307
147	763	1300
148	769	1296
149	774	1290
150	778	1283
151	783	1277
152	789	1273
153	793	1268
154	798	1262
155	803	1257
156	808	1250
157	812	1244
158	816	1238
159	822	1233
160	827	1228
161	834	1226
162	839	1220
163	843	1214
164	848	1207
165	853	1203
166	857	1197
167	862	1190
168	867	1185
169	871	1179
170	876	1173
171	881	1168
172	889	1167
173	894	1161
174	898	1155
175	904	1150
176	908	1144
177	913	1139
178	919	1134
179	923	1128
180	928	1123
181	933	1118
182	938	1112
183	942	1106
184	947	1100
185	952	1095
186	957	1090
187	961	1084
188	967	1080
189	972	1074
190	976	1068
191	982	1064
192	986	1058
193	991	1052
194	998	1049
195	1002	1043
196	1008	1039
197	1013	1034
198	1017	1028
199	1022	1022
200	1028	1018
201	1034	1013
202	1038	1008
203	1043	1002
204	1049	998
205	1053	992
206	1059	987
207	1064	982
208	1068	976
209	1073	970
210	1077	965
211	1082	959
212	1089	956
213	1094	951
214	1099	946
215	1104	940
216	1108	935
217	1114	930
218	1118	924
219	1123	919
220	1127	913
221	1133	908
222	1138	903
223	1143	898
224	1147	892
225	1155	889
226	1159	883
227	1164	878
228	1170	874
229	1175	868
230	1180	863
231	1185	858
232	1190	853
233	1195	848
234	1199	842
235	1205	837
236	1209	831
237	1213	826
238	1217	820
239	1223	815
240	1230	811
241	1235	806
242	1239	800
243	1246	796
244	1251	791
245	1255	785
246	1260	780
247	1266	775
248	1270	770
249	1274	764
250	1279	759
251	1284	754
252	1290	749
253	1297	745
254	1305	742
255	1310	737
256	1314	731
257	1318	725
258	1324	720
259	1328	715
260	1332	709
261	1336	704
262	1341	698
263	1347	694
264	1352	688
265	1356	683
266	1361	678
267	1366	673
268	1371	668
269	1377	663
270	1382	658
271	1387	652
272	1392	647
273	1397	642
274	1401	637
275	1405	631
276	1411	626
277	1416	621
278	1420	616
279	1426	611
280	1431	606
281	1435	600
282	1440	595
283	1445	590
284	1450	585
285	1455	580
286	1460	574
287	1466	570
288	1471	565
289	1475	559
290	1482	555
291	1489	550
292	1494	545
293	1498	540
294	1503	535
295	1509	530
296	1518	526
297	1523	521
298	1528	516
299	1532	510
300	1536	505
301	1540	499
302	1545	494
303	1550	489
304	1556	484
305	1561	479
306	1565	474
307	1570	469
308	1576	464
309	1580	458
310	1585	453
311	1590	448
312	1595	443
313	1599	438
314	1604	432
315	1608	427
316	1615	423
317	1621	418
318	1626	412
319	1631	407
320	1636	402
321	1641	397
322	1646	392
323	1654	388
324	1659	382
325	1670	379
326	1679	374
327	1686	370
328	1691	365
329	1696	359
330	1703	355
331	1711	350
332	1717	345
333	1721	340
334	1727	335
335	1733	330
336	1742	325
337	1746	320
338	1752	315
339	1756	310
340	1761	304
341	1768	299
342	1772	294
343	1777	289
344	1781	284
345	1786	278
346	1791	273
347	1796	268
348	1801	263
349	1808	258
350	1812	253
351	1817	247
352	1822	242
353	1826	237
354	1831	232
355	1836	227
356	1841	221
357	1845	216
358	1851	211
359	1855	206
360	1860	200
361	1865	195
362	1872	190
363	1876	185
364	1883	180
365	1888	175
366	1892	170
367	1897	164
368	1903	159
369	1907	154
370	1912	149
371	1918	144
372	1922	139
373	1926	133
374	1931	128
375	1937	123
376	1942	118
377	1955	113
378	1986	110
379	2003	105
380	2008	100
381	2015	94
382	2028	90
383	2035	84
384	2039	79
385	2044	74
386	2049	68
387	2054	63
388	2059	58
389	2063	52
390	2067	47
391	2072	42
392	2079	37
393	2084	31
394	2090	26
395	2096	21
396	2100	15
397	2104	10
398	2108	5
399	2114	0
